"mtry",".metric",".estimator",".estimate",".config","cluster","fold","train_n","test_n"
3,"rmse","standard",0.305808151416262,"Preprocessor1_Model3",5,4,15486,2047
4,"rmse","standard",0.305476372895575,"Preprocessor1_Model4",5,4,15486,2047
5,"rmse","standard",0.306902047418879,"Preprocessor1_Model5",5,4,15486,2047
6,"rmse","standard",0.305777635709538,"Preprocessor1_Model6",5,4,15486,2047
1,"rmse","standard",0.360179686261905,"Preprocessor1_Model1",5,5,17300,479
2,"rmse","standard",0.305201215374907,"Preprocessor1_Model2",5,5,17300,479
3,"rmse","standard",0.285856565331039,"Preprocessor1_Model3",5,5,17300,479
4,"rmse","standard",0.279690550499181,"Preprocessor1_Model4",5,5,17300,479
5,"rmse","standard",0.278511126078677,"Preprocessor1_Model5",5,5,17300,479
6,"rmse","standard",0.277055719539342,"Preprocessor1_Model6",5,5,17300,479
