local_authority,IMD,five_a_day,active,pop_density,age45orOver,ethnicityWhite,male,facilities_per1000
Ribble Valley,10.59,32.35,75.35,106.36,54.47,96.26,49.06,3.34
Richmond upon Thames,9.42,38.64,73.18,3451.02,44.55,80.45,48.12,2.39
Richmondshire,12.14,36.48,76.53,40.75,51.25,94.4,51.16,3.63
Rochdale,34.42,26.45,60.9,1414.84,41.49,73.95,49.03,1.77
Rochford,10.45,41.47,69.75,516.98,51.3,95.86,48.45,2.26
Rossendale,24.06,28.81,66.58,517.44,47.51,92.44,49.05,2.18
Rother,19.77,39.23,72.74,189.85,60.27,95.58,47.49,2.65
Rotherham,29.55,27.52,64.4,924.78,46.4,91.03,49.01,2.19
Rugby,14.12,31.14,67.19,315.14,44.1,85.7,49.8,2.46
Runnymede,12.01,33.98,70.17,1157.4,42.72,83.51,48.29,3.04
Rushcliffe,7.18,40.59,75.32,296.69,48.96,89.71,49,2.94
Rushmoor,15.9,33.07,68.65,2417.41,40.31,77.41,50.01,1.95
Rutland,8.38,39.48,70.17,106.09,52.15,94.79,51.33,4.28
Ryedale,15.67,38.12,71.19,36.92,57.22,98.16,48.78,3.52
Salford,34.21,24.26,63.09,2702.92,34.85,82.34,50.21,1.67
Sandwell,34.88,20.67,56.33,3845.42,38.95,57.23,49.22,1.25
Scarborough,26.28,37.85,65.38,133.17,56.14,96.99,48.59,2.83
Sedgemoor,21.31,32.63,68.45,218.74,51.54,96.6,49.53,2.47
Sefton,27.04,32.82,65.88,1801.66,51.24,95.81,48.43,1.88
Selby,12.73,32.54,68.83,153,49.17,97.68,49.12,2.9
Sevenoaks,12.44,37.59,70.29,328.79,49.05,92.11,48.3,3.14
Sheffield,27.06,30.54,71.7,1601.35,40.86,79.1,49.27,1.74
Shropshire,17.15,36.74,71.44,101.78,54.05,96.68,49.34,2.73
Slough,22.97,24.78,51.6,4597.26,31.92,36.05,49.52,1.4
Solihull,17.37,29.97,65.66,1219.86,47.81,82.16,48.54,2.3
Somerset West and Taunton,19.14,35.83,70.67,130.86,52.75,95.64,48.57,2.71
South Cambridgeshire,8.5,43.69,68.92,178.46,46.89,89,49.07,3.11
South Derbyshire,14.49,34.47,72.33,323.9,46.42,93.12,49.01,1.94
South Gloucestershire,11.66,34,68.9,579.17,44.25,91.2,49.5,2.33
South Hams,13.72,45.69,81.72,99.21,57.95,97.52,48.13,2.94
South Holland,17.9,33.54,65.11,129.12,51.53,96.32,49.15,1.59
South Kesteven,13.5,37.26,69.64,151.95,51.61,95.83,48.47,2.49
South Lakeland,12.5,41.33,77.29,68.4,57.9,97.68,48.97,3.6
South Norfolk,13.32,42.05,72.8,157.61,51.86,95.44,48.78,2.7
South Oxfordshire,8.46,43.48,77.99,211.9,48.37,93.09,49.34,3.55
South Ribble,15.33,31.45,69.27,983.45,49.81,95.39,48.9,2.53
South Somerset,17.35,38.79,68.14,175.9,52.76,96.62,48.94,2.83
South Staffordshire,13.12,28.79,68.99,275.88,54,93.75,50.07,2.68
South Tyneside,31.51,34.61,61.53,2346.31,48.53,94.39,48.53,2.02
Southampton,26.88,28.76,65.89,5068.66,35.49,80.68,50.2,1.27
Southend-on-Sea,22.37,39.41,67.55,4377.17,45.56,87.49,48.66,1.67
Southwark,25.81,30.68,68.94,11090.87,31.16,51.43,48.44,1.28
Spelthorne,14.94,31.82,67.99,2225.12,44.63,78.67,49.17,1.84
St Albans,8.34,41.42,72.53,926.42,44.83,83.6,48.79,2.93
St. Helens,31.52,28.61,65.12,1327.85,47.85,96.53,49.07,1.95
Stafford,13.68,31.31,69.04,230.47,50.87,93.38,49.41,2.39
Staffordshire Moorlands,15.04,32.83,69.84,170.93,55.77,98,49.33,2.5
Stevenage,19.69,25.99,66.66,3393.31,40.74,82.8,49.34,2.17
Stockport,20.83,27.25,68.68,2333.75,46.53,87.37,48.65,2.01
Stockton-on-Tees,25.79,27.54,66.96,968.07,45.8,92.04,49.1,2.04
Stoke-on-Trent,34.5,23.62,62.96,2746.08,41.63,83.48,49.73,1.79
Stratford-on-Avon,11.73,43.41,69.79,135.4,54.21,95.51,48.52,3.05
Stroud,10.8,41.47,71.94,262.46,52.68,96.37,48.91,2.76
Sunderland,30.59,26.44,66.44,2021.26,47.96,94.6,48.54,2.07
Surrey Heath,8.07,34.07,72.1,938.07,48.18,85.01,49.14,2.45
Sutton,13.99,27.66,62.4,4736.74,41,68.28,48.41,1.55
Swale,27.08,36.31,63.8,404.45,45.19,93.84,49.66,1.95
Swindon,18.62,28.32,67.5,968.61,42.55,81.46,49.72,2.03
Tameside,31.37,26.01,57.71,2201.36,44.07,85.55,49.02,1.64
Tamworth,21.06,25.26,63.39,2491.85,45.35,95.76,49.25,1.48
Tandridge,11.9,41.86,77.13,356.75,48.82,89.42,48.17,3.53
Teignbridge,15.89,41.53,76.08,200.39,55.61,97.68,48.47,2.4
Telford and Wrekin,24.99,26.14,64.17,624.57,43.79,88.19,49.23,1.98
Tendring,30.48,42.97,63.52,436.42,56.64,96.2,48.2,1.79
Test Valley,11.93,40.48,72.84,202.62,49.09,93.08,48.96,2.85
Tewkesbury,12.14,38.82,71.85,233.16,49.01,95.07,48.57,2.61
Thanet,31.31,37.67,63.3,1368.92,50.14,92.98,48.13,1.95
Three Rivers,9.87,29.19,70.16,1058.02,45.83,77.12,48.68,2.83
Thurrock,20.93,22.41,59.7,1074.4,37.76,76.7,48.98,1.79
Tonbridge and Malling,13.33,34.46,67.64,552.07,46.66,93.26,48.68,2.83
Torbay,28.1,37.31,69.74,2166.52,54.72,96.12,48.69,2.19
Torridge,23.27,39.25,68.59,69.85,57.72,98.25,48.95,2.34
Tower Hamlets,27.91,25.07,67.57,16792.4,21.99,39.4,50.23,0.83
Trafford,16.09,29.75,70.98,2240.52,43.91,77.75,48.67,2.25
Tunbridge Wells,11.31,38.48,74.97,358.98,47.43,91.55,48.52,3.23
Uttlesford,9.26,37.49,74.47,144.67,48.7,94.47,48.88,2.77
Vale of White Horse,8.36,37.15,72.6,238.76,46.1,90.78,49.64,3.54
